"CONTENT_ID","DO_NM","FACLT_DIV_NM","FACLT_NM","INDUTY","LCT_CL","MANAGE_STTUS","OPER_PD_CL","ROOM_COUNT","SBRS_CL","SIGUNGU_NM","SITE_BOTTOM_CL1","SITE_BOTTOM_CL2","SITE_BOTTOM_CL3","SITE_BOTTOM_CL4","SITE_BOTTOM_CL5"
100160,"경기도","민간","별내린캠핑","자동차야영장","산","운영","봄,여름,가을,겨울","11","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","남양주시","0","8","3","0","0"
100161,"인천시","민간","스톤 캠핑장","일반야영장","산","운영","봄,여름,가을,겨울","20","전기,무선인터넷,장작판매,온수,놀이터","강화군","0","12","8","0","0"
100162,"전라남도","민간","드론스포츠코리아","일반야영장","섬","운영","봄,여름,가을,겨울","24","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","고흥군","0","24","0","0","0"
100163,"충청남도","민간","평화숲","글램핑","숲","운영","봄,여름,가을,겨울","10","전기,무선인터넷,온수,물놀이장,놀이터","청양군","0","0","0","0","0"
100164,"경기도","민간","파주 눌노리 체험 캠핑장","일반야영장","산","운영","봄,여름,가을","18","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동장,운동시설,마트.편의점","파주시","0","18","0","0","0"
100165,"경상남도","민간","산앤호반 캠핑장","자동차야영장","숲","운영","봄,여름,가을,겨울","26","전기,무선인터넷,장작판매,온수,놀이터,운동시설","합천군","0","25","1","0","0"
100166,"경기도","민간","몽리치","일반야영장,글램핑","산","운영","봄,여름,가을,겨울","11","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","가평군","0","6","0","0","0"
100167,"경기도","민간","스테이 272","일반야영장","산","운영","봄,여름,가을,겨울","15","전기,무선인터넷,장작판매,온수,운동시설","이천시","0","0","0","10","0"
100168,"충청북도","민간","솔부엉이 캠핑장","자동차야영장","숲","운영","봄,여름,가을","35","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","음성군","0","35","0","0","0"
100169,"인천시","","영흥소장골야영장","일반야영장","","운영","봄,여름,가을,겨울","0","","옹진군","0","0","0","0","0"
100170,"강원도","민간","사발소캠핑장","일반야영장","계곡","운영","봄,여름,가을","10","전기,무선인터넷,장작판매,온수,운동시설","횡성군","0","10","0","0","0"
