"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"(주)아웃오브파크","10","운영","카라반","산,강","강원도","춘천시","봄,여름,가을,겨울","운동시설","민간","0","0","0","0","0","40"
"파크킹","100000","운영","자동차야영장","숲","경상북도","김천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","3","0","0","29","0","32"
"봉즈살롱","100001","운영","자동차야영장","강","강원도","횡성군","봄,여름,가을,겨울","전기,무선인터넷,물놀이장","민간","0","7","0","0","0","7"
"힐링피아 카라반 글램핑 풀 캠핑장","100002","운영","일반야영장","산,숲,강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","0","15","0","0","16"
"우니메이카 태안점","100003","운영","자동차야영장","숲","충청남도","태안군","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,운동시설","민간","0","0","15","0","0","15"
"뇌운계곡글램핑","100004","운영","글램핑","산","강원도","평창군","봄,여름,가을,겨울","전기,무선인터넷","민간","0","0","0","0","0","7"
"충주 비내캠프 체험학습장","100005","운영","자동차야영장","숲","충청북도","충주시","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,산책로,운동시설,마트.편의점","민간","0","28","0","0","0","28"
"솔비치캠핑장","100006","운영","일반야영장","해변","충청남도","태안군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설","민간","0","30","0","0","0","30"
"가온오토캠핑장","100007","운영","일반야영장","숲","경상북도","포항시","봄,여름,가을","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","민간","0","0","8","23","0","31"
"림스 글램핑","100008","운영","일반야영장,카라반,글램핑","숲","전라남도","강진군","봄,여름,가을,겨울","전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터","민간","0","0","0","0","0","23"
"호미곶유니의바다 카라반캠핑장","100009","운영","카라반","해변","경상북도","포항시","봄,여름,가을,겨울","전기,무선인터넷,온수,놀이터,운동시설","민간","0","0","0","0","0","15"
"예손캠핑장","100010","운영","일반야영장","숲","경상북도","고령군","봄,여름,가을,겨울","전기,장작판매,놀이터,운동시설","민간","0","13","0","0","0","13"
"(주)웨이브파크","100011","운영","카라반","해변","경기도","시흥시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","0","0","0","0","15"
"포에스카라반파크","100012","운영","일반야영장","해변","경상북도","포항시","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","38"
"약수동산","100013","운영","일반야영장","산","경기도","양평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","15","5","0","0","20"
"학암포글램핑","100014","운영","글램핑","해변","충청남도","태안군","봄,여름,가을,겨울","전기,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","13"
"더예감스테이","100015","운영","일반야영장","산","경상남도","산청군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","민간","0","57","8","0","0","72"
"캠프더포레","100016","운영","일반야영장","숲,계곡","경상남도","함양군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","17","10","0","0","27"
"태그하우스","100017","운영","카라반","해변","인천시","강화군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장","민간","0","0","0","0","0","5"
"양지뜰캠핑장","100019","운영","자동차야영장","계곡","전라북도","무주군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","28","0","0","0","28"
"우리들캠핑장","100020","운영","일반야영장,글램핑","산,계곡","강원도","양양군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","10","0","0","0","12"
"밤벌캠핑장","100021","운영","일반야영장","","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설,마트.편의점","민간","0","35","15","0","0","50"
"청춘캠핑장","100022","운영","카라반,글램핑","강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,운동시설","민간","0","0","0","0","0","5"
"단아한","100023","운영","자동차야영장","숲","전라북도","순창군","봄,여름,가을","전기,무선인터넷,온수,물놀이장,운동시설","민간","0","0","0","0","0","2"
"고래불해수욕장(병곡지구) 야영장","100025","운영","일반야영장","","경상북도","영덕군","여름","","지자체","0","0","0","0","0","0"
"다시캠핑장","100026","운영","자동차야영장","숲","경상북도","고령군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","12","0","0","0","12"
"산내들캠프","100027","운영","일반야영장","계곡","경상북도","경주시","봄,여름,가을,겨울","전기,장작판매,물놀이장,놀이터,산책로,운동시설","민간","0","0","0","15","0","15"
"고래불해수욕장(영리지구) 야영장","100028","운영","일반야영장","","경상북도","영덕군","여름","","지자체","0","0","0","0","0","0"
"빗소리야영장","100029","운영","일반야영장","숲","경상북도","청도군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","27","0","0","0","27"
"화성시 매송 오토캠핑장","100031","운영","일반야영장","호수","경기도","화성시","봄,여름,가을,겨울","전기,무선인터넷","지자체","0","0","25","0","0","25"
"캠핑느루","100032","운영","자동차야영장","산,숲,계곡","강원도","고성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","7","1","0","0","8"
"자작도캠핑장","100033","운영","자동차야영장","해변","강원도","고성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","지자체","0","0","28","0","0","28"
"오렌지캠프","100035","운영","일반야영장","숲","충청북도","보은군","봄,여름,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","민간","0","11","0","0","0","11"
"웰니스 권역 야영장","100036","운영","자동차야영장","숲","충청남도","공주시","봄,여름,가을,겨울","전기,온수,놀이터,산책로,운동장","민간","0","20","0","0","0","20"
"캠프고일리","100037","운영","일반야영장","산","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,온수,트렘폴린,물놀이장,산책로","민간","4","0","0","0","0","4"
"하늘아래 야영장","100038","운영","카라반","숲","대구시","수성구","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","14"
"명파리해변야영장","100039","운영","일반야영장","해변","강원도","고성군","봄,여름,가을,겨울","전기,장작판매,온수,운동시설","지자체","0","0","21","0","0","21"
"경주 캠핑573","100040","운영","자동차야영장,글램핑","숲","경상북도","경주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","0","0","6","0","12"
"염전해변캠핑장","100041","운영","일반야영장,자동차야영장,카라반","해변","경상북도","울진군","봄,여름,가을,겨울","전기,온수,놀이터","지자체","8","0","19","0","0","31"
"월성자연캠핑야영장","100042","운영","일반야영장","숲,계곡","경상남도","거창군","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","10","5","0","0","17"
"백석탄골부리캠핑장","100043","운영","일반야영장","계곡","경상북도","청송군","봄,여름,가을,겨울","전기,온수,놀이터","민간","0","0","10","0","0","10"
"박달재초록꿈캠핑체험장","100044","운영","일반야영장","숲","충청북도","제천시","봄,여름,가을,겨울","전기,온수,산책로,운동장","민간","0","11","0","0","0","11"
"읍내리 75-1 캠핑장","100045","운영","일반야영장","강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,물놀이장,운동시설","민간","0","20","0","0","0","37"
"바다야영장","100046","운영","자동차야영장","해변","전라북도","부안군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","19","0","0","0","19"
"성요셉치유마을 야영장","100047","휴장","일반야영장","","경상북도","문경시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"변산해수욕장 야영장","100048","운영","일반야영장","","전라북도","부안군","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"천주봉 캠핑장","100049","운영","일반야영장","숲,계곡","경상북도","문경시","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","10","0","0","0","10"
"FLOW 11 야영장","100053","운영","자동차야영장","숲","경상남도","창녕군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","15","15","0","0","0","30"
"우니메이카 산청점","100054","운영","일반야영장","계곡","경상남도","산청군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","6","0","0","0","6"
"운악산 글램핑","100056","운영","글램핑","산","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","민간","0","0","0","0","0","17"
"수원 솔내음 캠핑장","100057","운영","카라반,글램핑","숲","경기도","수원시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","민간","0","0","0","0","0","30"
"월악파머스캠핑장","100058","운영","자동차야영장","산,계곡","충청북도","제천시","봄,여름,가을,겨울","전기,장작판매,온수,운동시설","민간","0","10","7","0","0","17"
"노마드 캠프","100060","운영","일반야영장","","경기도","남양주시","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"서리실 힐링 가족캠핑장","100061","운영","일반야영장","","충청남도","천안시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","5","12","0","0","17"
"하늘땅카라반","100062","운영","카라반","숲,계곡","전라북도","무주군","봄,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터","민간","0","0","0","0","0","6"
"노랑카라반","100064","운영","카라반","해변","경상남도","남해군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","12"
"세움내움","100065","운영","일반야영장,자동차야영장","숲","경기도","양평군","봄,여름,가을,겨울","전기,장작판매,온수","민간","0","2","7","0","7","17"
"포천 글램파크 캠핑장","100066","운영","일반야영장","","경기도","포천시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"화천드림캠핑장","100067","운영","일반야영장","산","강원도","화천군","봄,여름,가을","전기,무선인터넷,장작판매,온수","민간","0","8","5","0","0","13"
"담터오지글램핑","100068","운영","일반야영장,글램핑","","강원도","철원군","봄,여름,가을","전기,무선인터넷,장작판매,온수","민간","0","0","0","0","0","1"
"메이플글램핑&카라반","100069","운영","카라반,글램핑","산","경기도","포천시","봄,여름,가을","전기,무선인터넷,장작판매,온수","민간","0","0","0","0","0","12"
"신두57캠핑&글램핑","100070","운영","일반야영장,글램핑","해변","충청남도","태안군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","102","0","0","0","127"
"민트글램핑","100071","운영","일반야영장,글램핑","숲","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수","민간","0","0","0","0","0","28"
"에프앤에프캠핑","100072","운영","자동차야영장","산","충청북도","제천시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설","민간","0","16","0","0","0","16"
"카이로스오토야영장","100073","운영","일반야영장","산","충청북도","충주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","29","0","0","0","29"
"한마음캠핑플레이스","100074","운영","카라반,글램핑","숲","충청남도","금산군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","32"
"남해금산오토캠핑장","100075","운영","일반야영장","섬,산,계곡","경상남도","남해군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,놀이터,산책로","민간","0","35","0","0","0","30"
"알로프랑스","100076","운영","자동차야영장","숲","경상북도","김천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","3","0","0","29","0","32"
"야한 캠핑장","100077","운영","일반야영장","산","경기도","이천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수","민간","0","8","0","0","0","8"
"소노팜","100078","운영","자동차야영장","강","강원도","홍천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","10","0","0","0","10"
"홍천 반딧불캠핑장","100080","운영","자동차야영장","계곡","강원도","홍천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","8","0","0","0","8"
"영흥도어울림캠핑장","100081","운영","자동차야영장","해변","인천시","옹진군","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장","민간","0","18","0","0","0","18"
"당사현대차오션캠프","100082","운영","자동차야영장","해변","울산시","북구","봄,여름,가을,겨울","전기,무선인터넷,온수","지자체","0","0","20","0","0","20"
"파인벨리펜션 글램핑 2호점","100083","운영","카라반,글램핑","계곡","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","0","0","0","0","18"
"숲이야기","100084","운영","일반야영장","산,숲","강원도","춘천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","0","19","0","0","19"
"큰빛내 야영장","100085","운영","일반야영장","숲,계곡","경상북도","울진군","봄,여름,가을,겨울","전기,온수,놀이터","민간","0","0","17","0","0","17"
"노마드글램핑","100086","운영","글램핑","계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","0","0","0","0","10"
"하얀보트","100087","운영","자동차야영장","","제주도","서귀포시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"은하수 관광농원","100088","운영","일반야영장","계곡","경상북도","김천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설","민간","0","9","1","0","0","10"
"백암온천마을 영농조합법인 야영장","100089","운영","카라반","숲","경상북도","울진군","봄,여름,가을,겨울","전기,온수,물놀이장,놀이터,운동장","민간","0","0","0","0","0","3"
"가리벨리캠핑장","100090","운영","자동차야영장","산","강원도","인제군","봄,여름,가을","전기,무선인터넷,장작판매","민간","0","30","0","0","0","30"
"에이미캠핑장","100091","운영","일반야영장,자동차야영장","강","강원도","영월군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설,마트.편의점","민간","14","11","0","0","0","25"
"비토애글램핑2호점(BITOLUV GLAMPING Season2)","100093","운영","글램핑","","경상남도","사천시","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","14"
"캠핑679","100094","운영","일반야영장","계곡","경기도","가평군","봄,여름,가을,겨울","전기,장작판매,온수","민간","0","15","0","0","0","15"
"더모스트 글램핑","100095","운영","글램핑","숲","경상북도","문경시","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","10"
"젠틀펫 파라다이스","100096","운영","글램핑","계곡","경상북도","문경시","봄,여름,가을","전기,무선인터넷,온수,놀이터","지자체","0","0","0","0","0","6"
"아이프로방스","100097","운영","자동차야영장","산","충청북도","청주시","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","50","0","0","0","50"
"사천 케이블카 자연휴양림","100098","운영","일반야영장","","경상남도","사천시","봄,여름,가을,겨울","온수,놀이터","지자체","0","0","0","0","0","0"
"진악산오토캠핑장","100099","운영","일반야영장","숲","충청남도","금산군","봄,여름,가을","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장","민간","0","8","7","0","0","15"
"라라캠핑장","100100","운영","자동차야영장","숲","경상북도","경주시","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,운동시설","민간","0","23","0","0","0","23"
"속리산풍경캠핑장","100101","운영","일반야영장","숲","충청북도","보은군","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","16","0","0","0","16"
"오색 산새소리캠핑장","100102","운영","일반야영장","계곡","강원도","양양군","봄,여름,가을,겨울","전기","민간","0","0","0","0","0","0"
"파주캠핑장","100103","운영","일반야영장","산","경기도","파주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","민간","0","25","0","0","0","25"
"느티담길 캠핑장","100104","운영","자동차야영장","숲","경상북도","군위군","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,운동시설","민간","0","7","0","0","0","7"
"이천 인휴 글램핑","100105","운영","일반야영장,글램핑","산","경기도","이천시","봄,여름,가을,겨울","전기,무선인터넷,온수,운동시설","민간","0","0","0","0","0","15"
"속리산 시어동 캠핑장","100106","운영","자동차야영장","숲","경상북도","상주시","봄,여름,가을,겨울","전기,온수,놀이터","지자체","0","0","14","0","0","14"
"바다다 캠핑장","100107","운영","자동차야영장","해변","인천시","강화군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","22","0","0","0","22"
"대룡산 오토캠핑장","100108","운영","자동차야영장","산","강원도","홍천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","19","0","0","0","19"
"무수아취","100109","운영","일반야영장,글램핑","도심","서울시","도봉구","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,마트.편의점","민간","0","0","0","0","0","12"
"오늘 여기 카라반","100110","운영","일반야영장","","경상북도","포항시","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"캠프 올모","100111","운영","일반야영장","계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","26","0","0","0","29"
"스타밸리캠핑장","100112","운영","일반야영장","숲,계곡","충청북도","진천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점","민간","0","26","0","0","0","26"
"힐사이드인가평 글램핑&캠핑","100113","운영","일반야영장","산","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","민간","0","32","0","0","0","32"
"천지 글램핑","100114","운영","글램핑","산","전라남도","순천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설","민간","0","20","0","0","0","20"
"비건캠핑","100115","운영","일반야영장","산","강원도","영월군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수","민간","0","0","16","0","0","16"
"별밤캠핑장","100117","운영","일반야영장,글램핑","숲","전라남도","나주시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","16","5","0","0","22"
"동산오토캠핑장","100118","운영","일반야영장","숲","경상북도","군위군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,마트.편의점","민간","0","23","0","0","0","23"
"글램핑포엠","100119","운영","일반야영장","숲","경상북도","청도군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,마트.편의점","민간","0","0","0","0","0","10"
"캠프파크 자동차 야영장","100120","운영","자동차야영장","숲","경상남도","창녕군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","40","0","0","0","40"
"다울관광농원 야영장","100121","운영","일반야영장","","충청남도","서산시","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"라피","100122","운영","자동차야영장,글램핑","계곡","강원도","평창군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","","0","0","3","0","0","27"
"아리아리 숲속의 야영장","100123","운영","자동차야영장","산","강원도","영월군","봄,여름,가을","전기,장작판매,온수,운동시설","민간","0","0","20","0","0","20"
"느루 캠핑장","100124","운영","일반야영장","산","충청남도","부여군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","36","0","0","0","36"
"우니메이카 단양점","100125","운영","일반야영장","산","충청북도","단양군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","0","0","5","0","5"
"수리바위 캠핑정원","100126","운영","자동차야영장","계곡","충청남도","부여군","봄,여름,가을","전기,무선인터넷,온수,물놀이장,놀이터","지자체","0","0","19","0","0","19"
"더오창호","100127","운영","글램핑","산","충청북도","청주시","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","민간","0","0","0","0","0","18"
"숲속의아침","100128","운영","일반야영장","계곡","강원도","영월군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","민간","0","14","9","0","0","41"
"둥지캠핑장","100129","운영","자동차야영장","숲","충청북도","보은군","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","20","0","0","0","20"
"개랭이 오토 캠핑장","100130","운영","일반야영장,글램핑","산","전라남도","순천시","봄,여름,가을,겨울","전기,무선인터넷,온수","민간","0","0","7","0","0","12"
"또바기 스파글램핑","100131","운영","글램핑","산","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","0","0","0","0","8"
"에코팜 부설 오토캠핑장","100132","운영","일반야영장,글램핑","숲","경상북도","포항시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","0","0","0","32","0","33"
"한별 도그파크","100133","운영","일반야영장","숲,강","경상남도","함안군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,산책로,운동시설,마트.편의점","민간","0","7","8","0","0","15"
"양양 솔바다 캠핑장","100134","운영","일반야영장","해변,숲","강원도","양양군","봄,여름,가을","전기,무선인터넷","민간","0","0","11","0","0","11"
"곰섬캠핑장 2구역","100135","운영","일반야영장","해변","충청남도","태안군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","11","0","0","0","11"
"노문 야영장","100136","운영","일반야영장","계곡","경기도","양평군","봄,여름,가을","전기,장작판매","민간","0","22","4","0","0","26"
"부엉캠핑클럽","100137","운영","일반야영장","숲","전라북도","완주군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","0","16","0","0","16"
"구화산BBQ","100138","운영","글램핑","숲,도심","경상북도","김천시","봄,여름,가을,겨울","물놀이장,놀이터,산책로,운동시설","민간","0","0","0","0","0","15"
"지리산365오토캠핑펜션","100139","운영","일반야영장","계곡","경상남도","산청군","봄,여름,가을,겨울","전기,온수,물놀이장,놀이터,운동시설","민간","0","5","12","0","0","17"
"땡땡이글램핑","100140","운영","글램핑","숲","전라남도","장흥군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","민간","0","0","0","0","0","10"
"달빛정원글램핑&카라반","100141","운영","일반야영장","","경기도","가평군","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"산내956","100142","운영","글램핑","계곡","경상북도","경주시","봄,여름,가을,겨울","운동시설","민간","0","0","0","0","0","20"
"포천 라온글램핑&오토캠핑장","100143","운영","일반야영장,글램핑","숲","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점","민간","0","0","0","0","0","28"
"인천청라국제도시 해변공원캠핑장","100144","운영","일반야영장","도심","인천시","서구","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설,마트.편의점","지자체","0","0","13","25","0","52"
"무수캠핑장","100145","운영","일반야영장","산","경기도","평택시","봄,여름,가을,겨울","전기,장작판매,온수,산책로,마트.편의점","민간","0","0","0","0","0","24"
"세븐캠핑장","100146","운영","자동차야영장","계곡","강원도","양양군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,운동시설","민간","0","36","0","0","0","36"
"아우내관광농원캠핑장","100147","운영","자동차야영장","산","충청남도","천안시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","38","6","0","0","48"
"레끄레오캠핑장","100148","운영","일반야영장","숲,계곡","경상북도","청도군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","15","0","0","0","30"
"아메리카 RV CAMP PARK","100149","운영","자동차야영장","","경상남도","창녕군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장,마트.편의점","민간","0","0","0","0","0","45"
"엠와이힐링캠핑장","100150","운영","일반야영장","숲","경상남도","밀양시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","민간","0","49","0","0","0","49"
"운악184","100151","운영","일반야영장,글램핑","산","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","17","6","0","0","29"
"나무야나무야캠핑장","100152","운영","일반야영장","숲","충청북도","괴산군","봄,여름,가을,겨울","전기,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","12","37","11","0","0","60"
"우니메이카 철원점","100153","운영","일반야영장","산,숲","강원도","철원군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,마트.편의점","민간","0","0","0","0","0","17"
"꾸네오 캠핑장","100154","운영","자동차야영장","숲","전라북도","순창군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터,마트.편의점","민간","0","0","0","0","0","0"
"그리심 글램핑장","100155","운영","자동차야영장,카라반","산","충청남도","공주시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설","민간","0","6","5","0","0","23"
"리틀보이 캠핑장","100156","운영","자동차야영장","산","경상남도","고성군","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,놀이터,운동시설","민간","0","20","0","0","0","20"
"가평 글램핑 사그막 끝마을","100157","운영","일반야영장,카라반,글램핑","산","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","민간","0","3","0","0","0","7"
"아틴마루 야영장","100158","운영","일반야영장","","경기도","양평군","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"보물나라캠프","100159","운영","일반야영장","계곡","경기도","연천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,운동시설","민간","0","39","0","0","0","39"
"별내린캠핑","100160","운영","자동차야영장","산","경기도","남양주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","8","3","0","0","11"
"스톤 캠핑장","100161","운영","일반야영장","산","인천시","강화군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터","민간","0","12","8","0","0","20"
"드론스포츠코리아","100162","운영","일반야영장","섬","전라남도","고흥군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","민간","0","24","0","0","0","24"
"평화숲","100163","운영","글램핑","숲","충청남도","청양군","봄,여름,가을,겨울","전기,무선인터넷,온수,물놀이장,놀이터","민간","0","0","0","0","0","10"
"파주 눌노리 체험 캠핑장","100164","운영","일반야영장","산","경기도","파주시","봄,여름,가을","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동장,운동시설,마트.편의점","민간","0","18","0","0","0","18"
"산앤호반 캠핑장","100165","운영","자동차야영장","숲","경상남도","합천군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","25","1","0","0","26"
