"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"올덴캠핑장","7185","운영","일반야영장,자동차야영장,카라반,글램핑","산,숲,강","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","민간","1","3","1","4","0","4961"
"올래캠핑장","7186","운영","자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","10","0","0","0","10"
"완도 명사십리 오토캠핑장","7187","운영","일반야영장,자동차야영장,카라반,글램핑","해변,섬","전라남도","완도군","봄,여름,가을,겨울","","민간","0","0","70","0","0","0"
"용수 그린랜드","7188","운영","자동차야영장,글램핑","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장,운동시설,마트.편의점","민간","0","21","15","0","0","27"
"대가야역사테마관광지 캠핑장","719","운영","일반야영장","숲","경상북도","고령군","봄,여름,가을,겨울","온수,놀이터","지자체","0","0","25","0","0","25"
"용인힐링캠핑장","7191","운영","자동차야영장","산,숲","경기도","용인시","봄,여름,가을,겨울","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민간","0","65","5","0","0","70"
"가평 우리들캠핑장&글램핑","7192","운영","일반야영장,글램핑","산,숲,계곡,강","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,마트.편의점","민간","0","20","7","0","0","26"
"유명산라온캠핑장","7193","운영","일반야영장,자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","37","0","0","0","74"
"유명산밸리캠핑장","7194","휴장","자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설","민간","0","10","0","0","0","10"
"유명산힐링캠프","7195","운영","자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","0","10","0","0","20"
"율포오토캠핑장","7196","운영","일반야영장,카라반","해변","전라남도","보성군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,산책로,운동장,운동시설,마트.편의점","민간","0","0","0","0","0","52"
"은석캠핑장","7197","운영","일반야영장,자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,운동시설","민간","0","45","0","0","0","90"
"은석힐링마을캠핑장","7198","운영","자동차야영장","산","강원도","정선군","봄,여름,가을","전기,무선인터넷,온수,놀이터,마트.편의점","민간","0","30","0","0","0","30"
"은하캠핑장","7199","운영","자동차야영장","산,강,도심","경기도","가평군","봄,여름,가을","전기,장작판매,온수,놀이터","민간","0","5","5","0","0","10"
"풀문캠핑앤글램핑리조트","7200","운영","자동차야영장","산,숲,계곡,강,도심","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설","민간","0","25","5","0","0","77"
